State,District,JAN_normal,FEB_normal,MAR_normal,APR_normal,MAY_normal,JUN_normal,JUL_normal,AUG_normal,SEP_normal,OCT_normal,NOV_normal,DEC_normal,JAN_current,FEB_current,MAR_current,APR_current,MAY_current,JUN_current,JUL_current,AUG_current,SEP_current,OCT_current,NOV_current,DEC_current,Flood_Risk
ARUNACHAL PRADESH,PAPUM PARE,33.5,67.8,106.1,226.9,453.0,640.5,609.5,503.4,492.3,214.7,19.2,11.3,27.896821193373178,61.62055283774476,133.59541690943672,256.26072755013104,509.4923818391696,747.3846866256324,580.3672788884974,379.6427121437053,469.84266103105017,167.29429808765371,22.288933327636528,12.361046678397377,Low
ARUNACHAL PRADESH,LOW SUBANSIRI,97.5,109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,77.71077146446692,121.48950328084273,70.48300391453192,144.68359534586943,252.24728083218542,351.09636418497354,191.83868680761006,251.05477445111052,200.3387499162137,100.1434159849419,61.154027702009635,30.46105016688015,Low
ARUNACHAL PRADESH,UPPER SIANG,74.3,176.7,362.6,397.5,408.7,801.9,653.0,417.9,686.0,264.9,86.9,71.7,78.2835264391545,150.58578562867433,441.84759669315093,309.68505188064694,413.1250034499211,650.0060185276996,825.6982338166315,452.377709681199,852.4331977706297,252.85344942139008,100.5476670345678,54.13719761013235,Medium
ARUNACHAL PRADESH,WEST SIANG,26.0,66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,21.624815454342123,54.397179449226044,64.2141985359193,208.93324044745185,241.79483791957068,321.0240953022927,516.436597806474,255.96876417009852,279.2566214636013,98.1084765581689,24.523002778095425,25.008983875744143,Low
ARUNACHAL PRADESH,DIBANG VALLEY,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,105.69887634190874,136.80191582478233,357.6926425643532,321.3325679620679,268.88153990096845,419.48666910244805,286.21974086900707,133.12550820982923,267.9042488411996,212.38442329770066,77.31598659220353,44.71951361300975,Medium
ARUNACHAL PRADESH,WEST KAMENG,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,30.46167549756808,38.509434818714176,60.011607678989826,98.97862280915595,331.14691152861934,491.41428709145475,617.9546892491813,752.6445185574026,548.5992988614956,278.9324595389899,29.84108114782167,34.24029878326322,Low
ARUNACHAL PRADESH,EAST KAMENG,49.0,74.4,96.5,156.9,208.0,345.7,368.5,256.2,275.9,138.2,34.4,27.2,55.48513190090865,53.594743864244265,107.09928899067951,145.1647698228657,191.27718554513885,402.3459291736574,459.29476536548833,316.76394996551534,246.4747266016576,179.16819225628322,37.5295183793017,28.177578888827288,Medium
ARUNACHAL PRADESH,TAWANG(W KAME,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27.0,28.089607272821105,47.198349934955715,72.73397114673622,99.55254296698875,393.5666240131647,741.1873290658989,961.6124446670538,512.3132874900285,515.0179059205183,206.90735841610532,34.51887263796557,34.72146991570315,Medium
ARUNACHAL PRADESH,KURUNG KUMEY,82.7,70.0,128.2,245.7,271.4,292.7,404.0,276.3,283.5,92.3,32.3,42.4,93.47557515961559,65.37596411451088,125.66233135878115,302.6093921280487,281.3004418111775,327.42868468353987,338.71375669265746,277.06007951671774,265.47630167025403,64.97480626980212,29.79624898500563,43.897442927729976,Low
ASSAM,CACHAR,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,13.921057203761324,57.58661623654139,134.8547534975682,278.63823756094655,350.73908374255,660.5972292226561,630.2618344111124,545.0356056663934,374.09103130083247,219.78737021902748,27.779766208874527,13.896177415366099,Medium
ASSAM,DARRANG,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,14.842102741594053,23.068144861343406,42.51751268417713,119.17054826540695,305.74080320438895,425.09758624403713,257.35703515580707,330.31137578767465,267.76740005927974,81.30852677451104,12.888698302887557,11.14054213381799,Low
ASSAM,GOALPARA,12.7,20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2,16.064247484405684,15.5796126210233,42.50883205996505,243.3799082827571,298.31416423395484,658.628684274617,565.6403498731017,347.998512539681,383.6582328060478,180.99549286481533,19.96162067153964,6.683780223083612,Medium
ASSAM,KAMRUP,12.0,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,8.711769641827424,16.680399236848576,51.157720304564954,177.50055404232398,262.4054695313584,276.0695864404816,315.7504703666414,186.98206663060998,176.99731967535791,85.20414633503681,12.090208182559218,6.876256304753002,Low
ASSAM,LAKHIMPUR,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23.0,20.4,34.52184853307145,56.82579877940211,62.647749798277225,145.69707404218215,333.6105424114681,475.24157107422167,718.4998759142728,497.21402128385614,530.3509294577432,153.1577785803444,20.936457891978478,22.99476553162967,Medium
ASSAM,NORTH CACHAR,16.7,47.5,158.9,207.9,308.0,328.1,270.3,201.3,189.1,196.4,42.1,11.2,19.053818488738077,61.52890473342079,163.76608492080322,258.5500231807797,338.2805336090281,406.2043759263869,274.2444925404535,230.46813562107738,156.24281128618668,175.45106520941272,39.34983014584422,11.276792553408871,Medium
ASSAM,NAGAON,12.0,22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120.0,21.6,10.8,11.074951257617496,18.728516475351306,51.30244134509291,114.34961402244346,192.5805969968982,209.47674916359003,251.15047695455212,305.8923409170578,179.42836819965547,150.70171956341466,20.96784165897512,13.12562301199603,Low
ASSAM,SIVASAGAR,20.1,33.2,78.3,126.5,257.1,255.5,374.8,342.3,196.9,96.3,20.3,10.3,19.35735584521795,39.33497157628632,80.10836302729656,96.71560984973219,199.2897389270618,221.3858709021353,433.902162051404,382.30636908107425,255.173100572068,77.95227405631748,14.841122840700189,12.329381755140554,Medium
ASSAM,BARPETA,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,10.495872885852707,27.71909460111067,46.920067092888964,157.67545590478704,506.36768842861653,487.94480801889216,958.6243362387751,666.5707932547834,353.1721635487191,110.24447552040193,19.29723860116361,10.861794560620469,Medium
ASSAM,DHUBRI,10.3,11.7,46.6,147.5,391.6,603.0,554.7,418.7,340.1,155.1,19.2,4.1,13.061412841343254,11.253917331437625,50.732579669650676,165.56855310124567,419.82396973165453,477.5161883461964,553.2514787801942,536.0539700619853,262.46034593811385,181.50400460951292,13.634422646518884,4.622660390394719,Low
ASSAM,DIBRUGARH,30.6,53.1,119.8,229.9,292.4,401.0,519.4,405.1,325.9,136.9,24.0,18.5,37.78925116360866,67.07333204354987,86.27190919485352,284.95147932179367,314.40401226414355,291.08107880148754,431.10614604634725,357.1867809311086,299.2696508614615,140.18991636254881,20.93243521066299,13.746584880401457,Low
ASSAM,JORHAT,22.2,36.7,80.1,204.6,277.4,288.8,390.7,346.9,272.7,121.7,25.6,15.6,27.643565374478992,44.60724296078895,65.89750149410732,237.5019115631383,294.50762157175865,338.06502397132596,459.66751176164473,354.62360032042864,221.33629833934953,146.34629747648424,23.40810358711677,15.55322010187963,Medium
ASSAM,KARIMGANJ,13.2,35.2,169.7,340.4,604.0,645.2,646.0,438.0,418.7,240.4,86.8,13.2,16.03941078941422,29.60696202868479,164.52349784546792,411.8489033166405,494.2871497529994,734.9548225141987,656.8429600277332,328.9143967181338,330.61904820998507,204.20564976386535,83.59979612187922,11.578211881092235,Low
ASSAM,KOKRAJHAR,10.9,27.9,45.8,216.4,461.1,822.2,864.2,677.1,462.9,159.5,18.1,6.1,13.904279426789216,25.67685975905251,39.58193468582207,168.80243388306044,554.9184796707751,713.3679945654804,715.1467725951511,671.4711347191303,498.7516002094122,175.1549729473461,19.53680383698905,7.862107569723617,Low
ASSAM,SHONITPUR,19.4,23.1,50.0,144.3,284.1,363.1,384.2,337.9,229.2,109.7,20.9,12.6,24.007735888204266,23.81238758963732,53.333749597754284,103.98819244584958,309.24312900098147,459.4733537871858,296.54107181630997,381.16377633707384,221.59369698933813,107.9622163642718,16.801740620590504,14.260370593742532,Medium
ASSAM,GOLAGHAT,16.9,29.5,65.2,135.9,245.6,254.2,314.7,271.4,209.3,103.7,19.6,14.7,19.537752402672503,25.57152817039518,77.05018527122635,120.09576382808437,206.2150277851188,285.78087154602395,375.1643710128689,306.1611388749567,267.0497252394602,97.93266177085182,23.38535094219416,10.767808465828542,Medium
ASSAM,TINSUKIA,26.6,58.4,131.2,215.9,272.7,388.3,515.3,387.2,327.0,118.7,25.1,18.9,30.381634446116657,53.90422041808088,97.01838978031225,223.66024457014927,264.7094190937496,391.89194657036626,503.2703227131524,389.2176838905874,416.0317682954558,85.3891474407349,19.285555729117213,19.490695997341515,Medium
ASSAM,HAILAKANDI,7.3,42.0,123.8,239.0,416.2,470.4,426.8,406.9,317.0,150.6,36.5,9.1,8.371913787756922,32.3782436466023,97.68928962197731,237.96740787287158,446.55707361172904,511.4788095417282,521.497938929483,376.8253103077318,255.42224805910766,146.75426262778078,37.15804162155635,8.105557200424686,Medium
ASSAM,DHEMAJI(LAKHI,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23.0,20.4,22.52420453862642,53.533813157259736,66.89440025751412,145.5668302399733,384.9708718344514,647.863540688828,630.1093529472471,331.8718814455365,510.51867369355165,121.2743671972331,19.93277159712197,26.347829087182003,Medium
ASSAM,KARBI ANGLONG,12.8,24.1,53.8,106.3,139.4,224.9,238.7,220.5,182.9,100.1,26.3,11.2,12.621665401015193,28.908707525892606,60.07822563053121,103.00064127684385,167.2853630581889,262.788471237897,273.0179784814102,239.62047817151796,158.68772937902816,119.54278964621525,30.843149803090586,8.715923845752174,Medium
ASSAM,UDALGURI(DARA,13.1,21.4,53.5,168.8,320.0,419.7,345.8,272.1,221.5,95.4,17.2,9.3,13.653103850735366,19.92813490702619,42.73594479892413,167.31225041273453,340.01027108654546,343.22378187842395,347.8207546971455,216.0801607407921,260.0664169182416,100.85056703267297,17.331574682231874,8.417893220187864,Low
ASSAM,KAMRUP METROP,12.0,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,10.558073716439957,22.61054621530944,73.04929695209572,150.06652384925002,300.9760458816694,344.8641831274695,252.25186640182585,179.78893748117886,194.1371729840145,80.08586927271946,15.50334286095599,8.885582740539771,Low
ASSAM,CHIRANG(BONGAI,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,7.593909115516235,25.150358781267837,48.047121242163435,159.7571474776955,339.1831882802085,742.0697052584472,645.3515557709998,564.5862920644901,445.84275753708755,198.89606428091304,22.487789138318426,10.399167102812926,Low
ASSAM,BAKSA BARPETA,10.3,26.9,54.0,175.7,391.5,694.3,757.3,527.3,462.1,142.1,20.4,12.7,10.620984904189369,34.883462284310006,63.51429327744857,135.48430502576338,453.68365211948156,550.9433117641795,547.7230666071531,457.65571674944863,389.6210482914759,157.30486997178477,25.41767424964077,11.185130963752584,Low
ASSAM,BONGAIGAON,10.0,31.2,57.5,183.4,442.0,626.3,776.6,486.8,406.4,168.2,18.7,11.6,9.237579025851861,32.094808270402055,51.08485432929274,220.61051216829486,332.63523232543935,811.646328719667,872.1939131901585,585.9851857354955,406.7642063047675,184.73657690717732,16.980851965166742,13.244596603458744,Medium
ASSAM,MORIGAON,18.7,24.4,51.6,116.8,169.1,310.1,374.8,309.2,221.4,119.3,19.9,8.2,15.491551018018038,29.047953018548426,39.937918975757164,136.4382135104562,121.31959560350485,390.92459811561196,371.4620912998775,314.71913816190755,181.24725838316917,126.74118002091889,14.884932552418643,9.085364292470077,Medium
ASSAM,NALBARI,14.9,18.6,56.7,184.6,380.7,551.2,470.9,322.0,220.2,110.4,21.6,4.8,14.5197325768701,17.326809814753886,44.741200480886796,194.66305625248285,328.4625502201949,446.66122698178555,477.8549522195198,398.20682679233863,245.4682865748975,105.86769515260491,21.36973528874876,4.416054262835894,Low
MEGHALAYA,EAST KHASI HI,15.4,24.1,129.7,312.5,733.7,1476.2,1518.4,1019.4,607.8,277.9,40.3,10.7,12.806040730957998,27.15050959110742,93.15696750229081,322.8002235621172,643.3180050240094,1178.0210833949425,1811.1871476633873,977.2352629068833,682.3361304610082,305.87439631791966,43.62827874143068,8.911404713495578,Low
MEGHALAYA,JAINTIA HILLS,33.8,44.1,115.1,282.3,598.8,1316.1,1591.3,933.8,826.3,517.7,110.9,9.7,40.424560199407935,31.306090634545612,99.71107001220255,354.0463315738837,605.5551120774204,1430.9139005107197,1979.590397501352,1019.5402408285622,1013.6515522128548,557.1880185926251,115.82820673570099,7.187456956695178,Medium
MEGHALAYA,EAST GARO HIL,5.6,16.0,64.0,244.4,352.2,531.1,465.8,358.9,315.7,154.1,35.8,10.8,4.101647858446871,14.886765948250428,70.32705840791874,269.03758835932314,441.4997046139968,465.58443244927327,447.2213799166531,270.66663919524166,257.3687863666938,182.9644601081632,45.591719102334814,10.743573748679752,Low
MEGHALAYA,RI-BHOI,16.2,15.1,55.8,117.1,273.3,340.5,425.6,400.2,313.2,125.4,25.7,8.8,16.409335455113624,18.177744726174954,62.640749983584364,125.06031553047907,218.01070070639568,439.524751194865,505.2162802522259,285.31516002378896,281.89240108223646,155.25488424494876,24.812186851477296,6.456346855994363,Medium
MEGHALAYA,SOUTH GARO HI,6.8,10.7,48.7,180.9,350.0,492.6,476.4,385.2,327.3,155.7,16.1,9.4,7.8963334172219515,10.257897596072002,34.99917569538514,128.04883964725678,382.936831553536,411.5151796023629,520.2971382763332,467.04435916028785,418.27135448662006,148.55587960788444,19.627164900286115,11.614521960545389,Medium
MEGHALAYA,W KHASI HILL,19.7,31.1,61.3,160.5,352.3,651.5,1050.3,607.9,465.3,192.5,32.1,18.5,24.09324739158571,27.601129792609246,57.6447693111723,202.32498529091367,374.55055826223844,519.433684309526,782.5083853169313,618.7602309650088,403.26012228773146,181.76206961418816,23.853466633505228,17.007656363137084,Low
MEGHALAYA,WEST GARO HIL,6.8,10.7,48.7,180.9,350.0,492.6,476.4,385.2,327.3,155.7,16.1,9.4,7.717169700410966,8.97853344294464,48.62357922614533,161.87112988543672,412.78614552131506,502.34726202692474,401.753687032512,471.5204234432489,253.05933041698557,179.15666360960853,13.339611577292754,7.41917215878125,Medium
MANIPUR,IMPHAL EAST,13.5,34.3,84.5,145.5,208.9,370.7,324.0,280.4,189.1,144.0,36.1,8.2,16.25828457861799,30.200967384909553,65.29781145520641,136.1210977402427,182.61423548826036,380.413579868972,304.97244779731,316.5433806074457,179.82945678106074,107.32466219548868,39.96887483283603,7.414307000600986,Low
MANIPUR,SENAPATI,13.3,29.9,47.5,124.7,198.4,368.2,366.1,326.6,220.1,156.0,57.0,14.8,12.284035338613151,36.509055898372814,34.86943265421245,125.93674964924807,237.1425364117977,401.6292904871911,467.5077710439837,418.74752017020455,215.56740472871448,131.84702343957568,61.075647143168126,10.762877573447689,Medium
MANIPUR,TAMENGLONG,48.5,229.6,224.5,431.5,539.9,1158.7,1820.9,1522.1,726.3,376.1,144.0,7.2,40.48763319252094,256.13717134277897,263.94523881962056,553.6180607010439,380.82180769971865,957.4839398973628,1299.7725335343903,1170.9016350454012,889.008019739476,317.0138840606835,103.17389447864345,9.255634259371496,Low
MANIPUR,CHANDEL,8.5,27.9,36.3,77.9,179.0,609.9,540.3,490.9,366.0,254.9,48.3,7.6,9.066629261273494,22.384464479611214,32.720223788434964,91.87937847929815,176.26587088866748,668.7346980801166,645.0629377593085,402.0315301850032,473.81761276655425,235.54925802297166,61.443493796827376,9.637383331514567,Medium
MANIPUR,UKHRUL,14.5,36.1,56.9,76.6,122.2,348.3,296.8,243.3,169.1,122.7,49.4,13.1,17.335151768343675,29.46366467907462,50.30607426131459,65.73956856294234,139.02240816660841,425.1908688962322,380.41820215463406,183.26715994847257,207.15675903941332,147.1011958546107,43.57845405005513,16.442231624061407,Medium
MANIPUR,THOUBAL,15.3,26.2,43.1,96.2,140.1,333.0,181.7,212.1,106.8,94.6,27.9,9.3,17.733596907234322,32.41611628678048,50.09237775943397,89.38766937499918,162.2333399179339,431.0325710569851,227.22532920256413,233.72159220315058,108.63159210791702,69.23457413982582,33.243954175352705,8.137384483278204,Medium
MANIPUR,BISHNUPUR,54.5,50.0,112.4,108.1,159.3,435.6,310.4,368.9,219.4,237.0,56.9,15.0,55.79715806341804,47.81439091561629,102.48727486276529,126.94464196719942,147.57516093210918,496.2467355702274,256.70956791908407,285.1403315805036,190.21874091592045,227.02765510279622,59.755016213168076,14.588721968780678,Low
MANIPUR,IMPHAL WEST,22.3,31.0,63.8,109.1,134.6,337.3,234.7,239.3,160.5,144.5,34.3,19.5,18.048088416661763,22.20835758712947,69.77062107259506,118.29387808637864,145.71883496434526,397.30040161670564,270.62449724406946,291.6319396846007,129.420482855874,176.01522154461077,32.78608667279078,18.87418411905064,Medium
MANIPUR,CHURACHANDPUR,13.0,31.1,72.7,187.3,238.0,422.1,407.6,382.6,348.3,173.2,50.1,11.4,13.55785397001134,25.146413626300628,76.03351422001637,131.95264572464328,262.7948886871428,471.62733319422296,345.58130693086616,306.55730767827356,418.12002664659616,164.34317118882348,39.855315541544115,13.152923038206655,Low
MIZORAM,AIZAWL,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,12.158362518399665,27.675612839983874,99.57591293236861,238.87764924258045,253.13135707137977,377.3669833084223,318.32466406876034,393.1952278158761,489.3323210900006,252.41455290959033,82.95868037898117,21.18995145977891,Low
MIZORAM,CHAMPHAI,13.4,21.8,83.0,122.7,261.5,350.5,369.3,336.6,296.1,226.7,64.5,22.5,12.58295906870271,16.122873331966723,84.76812018007986,87.4710568536444,283.62824760208156,318.1528114720281,414.1030090585973,358.01485833801837,301.8271179677426,182.5650405821126,58.00066455567997,17.180458834981845,Low
MIZORAM,KOLASIB,13.4,40.0,131.6,183.5,316.4,437.6,431.9,453.2,369.8,219.8,49.9,12.9,13.480256497778258,29.909526351124327,149.12505526672132,187.0691618256969,393.5087486785766,459.06773341189415,461.6131140648987,384.76035966518276,335.2326703869304,231.02053759852444,47.57125764143543,13.935146206061798,Medium
MIZORAM,LUNGLEI,5.5,21.8,88.0,119.3,310.3,459.4,514.6,481.7,410.6,245.4,65.9,8.6,4.112401398584585,23.264158248212354,90.13212736771739,153.18959581560455,257.4662700282605,357.23150818071906,584.0053652702398,372.05509527542677,516.838166050045,203.635670121011,58.155744469384594,7.306463707416887,Low
MIZORAM,CHHIMTUIPUI,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,15.434814419162104,27.02583765141088,91.60859815512751,138.34353468442052,261.65013280578194,383.942554032388,510.0195083414189,530.9634289101018,388.0832191353698,199.3129221384367,65.11416502551822,12.672744377248314,Low
MIZORAM,LAWNGTLAI,8.3,27.5,66.7,122.9,319.8,437.2,493.9,408.8,365.8,231.5,66.0,9.2,9.79047162095808,34.310241663632965,70.71849993356274,144.25537613227243,332.62951166376973,316.15574650390283,557.0069578049691,468.30017376515974,257.1927126092189,191.32050846496455,67.52367752096922,10.975838049117325,Low
MIZORAM,MAMIT,13.8,31.2,107.9,185.8,351.4,467.7,448.7,480.7,390.9,254.5,65.3,16.5,12.190966112128015,36.3891776843268,103.43962821292936,219.70268341384565,391.0895952986962,565.5072473775357,409.05402519669263,592.3686482962132,402.8929922742959,219.93570471405636,72.79320633139716,15.390107855680254,Medium
MIZORAM,SAIHA,6.7,31.0,69.7,116.7,335.4,384.8,437.9,412.2,387.7,214.2,67.9,16.4,6.794124638786524,33.32206527798425,67.01498356577005,134.98625261382622,308.75781294182156,295.1349553393561,404.01966695296335,399.0119204473509,295.9821738182637,161.21240028545856,80.56511527395696,17.695119975692606,Low
MIZORAM,SERCHHIP,15.4,33.8,103.6,150.9,294.3,395.9,477.1,430.7,346.7,167.3,71.6,18.5,15.409544941541618,34.27904250384347,126.74078066733661,112.49632524417473,349.2703800544426,357.8457133997682,402.37036626722113,451.0756731436973,348.2101670322591,205.9342565991182,74.92770410654282,15.710349300158356,Low
NAGALAND,KOHIMA,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,9.807889272098485,22.433623908538447,42.34998242891795,97.54332670744822,200.19098297904662,313.97067703904537,402.96850095297066,387.36652618518843,186.87155339600963,114.19058097280607,39.95157163715604,6.199677142078107,Low
NAGALAND,TUENSANG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,23.41182100777065,26.81634146039821,69.98707689271167,214.37617780074203,213.51171954209946,287.95264537968694,425.14642309265116,283.22163072231194,268.2221586752805,105.22208136975814,35.76508252465726,11.683549668999566,Low
NAGALAND,MOKOKCHUNG,23.4,31.1,60.9,138.3,287.1,525.5,525.1,394.2,231.3,137.3,43.1,12.5,27.33073375380071,31.821962845954168,74.50271433573533,119.38016230631764,251.81979256619485,653.6258501107682,422.83120891877854,278.1436973377563,183.79689922557262,110.31798346063525,32.48187089203352,16.199887801687403,Low
NAGALAND,DIMAPUR,14.7,4.1,57.2,77.8,151.8,204.8,187.7,272.0,150.8,125.0,43.7,16.3,18.217522353727585,5.249076181338403,71.28070688040741,55.84798277271925,178.06800990408615,162.77249317144356,193.01910959002532,229.88757998316018,151.965231690235,129.95571181839026,49.55778474343485,15.283850602365542,Low
NAGALAND,WOKHA,20.4,42.1,96.7,144.3,325.6,416.3,495.6,478.9,277.9,127.7,55.7,16.5,20.877098798044504,34.9196678053208,71.09928254718223,167.88251516361123,285.32235728876924,523.7812089972908,533.7250272357376,479.11634088239475,300.05455217929745,111.31192721174779,53.72121004621052,16.501721733532662,Medium
NAGALAND,MON,13.1,33.5,48.2,137.9,193.9,271.1,273.6,177.4,101.8,62.1,19.8,7.5,15.996984552816693,39.68716649465545,48.922046677712295,101.1161853258467,243.5687997874573,336.4951071127476,341.0885693530649,162.67944273523324,91.03016819952512,72.21294444022632,19.55487398346039,9.578579491877758,Medium
NAGALAND,ZUNHEBOTO,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,23.128342586602525,22.2060228458629,71.33158404658974,153.15201518339998,198.04818924436063,323.3595666376797,462.31702096856674,404.4829983564923,231.50086100016648,100.66321248507886,49.9775672410434,10.045127990671629,Low
NAGALAND,PHEK,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,9.50704014436069,31.813655346847817,69.31080050771908,100.30649067476838,181.52707347418854,323.44103007343364,354.31474015965944,395.4271178032762,226.0816496877517,96.88078133690951,25.51439236891007,5.8873401221822474,Low
NAGALAND,KEPHRIE,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,22.73932903632218,28.05794409779488,82.21091212710384,128.56339672334403,237.35660070687683,306.0121836153421,435.51920284224605,393.8509291918721,224.50516043273362,125.86246712539031,36.20085801274896,8.529428640122163,Low
NAGALAND,LONGLENG,23.7,26.8,65.7,177.2,225.7,350.3,441.8,352.2,241.8,122.5,41.6,10.7,27.672294551267203,23.893153257051594,52.336215959137164,176.66673347879274,258.2406562890431,425.1770086666586,498.38571452536405,306.5965244213917,300.23355443950084,149.33926414800217,42.973867884575775,11.053596257284545,Medium
NAGALAND,PEREN,12.3,28.8,55.8,89.8,162.0,308.2,365.4,376.1,258.3,130.2,31.8,6.1,14.940881595332279,23.438054280667274,61.96731241172853,63.99671788467858,125.42460288329032,343.7439787584862,329.0534155014798,405.9555276805201,235.10536419198118,128.79079830530728,41.07157184224026,6.138032938834951,Low
